Hire Date empid Job Code Salary
17FEB1980 E00271 RESCLK $28,000
23FEB1980 E00166 MKTCLK $34,000
31MAR1980 E00151 MECH01 $41,000
28MAY1980 E00074 MECH03 $36,000
31MAY1980 E00222 PRES $250,000
05JUN1980 E00234 FINCLK $41,000
10JUL1980 E00350 FLTAT2 $19,000
29JUL1980 E00097 BAGCLK $20,000
02SEP1980 E00241 ITSUPT $32,000
08SEP1980 E00076 RESMGR $36,000
17SEP1980 E00128 FSVCLK $38,000
02OCT1980 E00142 FLTAT2 $43,000
07OCT1980 E00231 GRCREW $31,000
24OCT1980 E00194 SALMGR $27,000
14NOV1980 E00114 MECH03 $42,000
21NOV1980 E00353 ITPROG $45,000
28NOV1980 E00246 FACCLK $21,000
30NOV1980 E00306 SALMGR $45,000
01DEC1980 E00197 FLTAT3 $39,000
21JAN1981 E00211 FSVCLK $32,000
22JAN1981 E00418 RESCLK $21,000
01FEB1981 E00382 RESCLK $38,000
04FEB1981 E00157 CHKCLK $17,000
09FEB1981 E00451 FLTAT3 $27,000
13FEB1981 E00290 ITPROG $37,000
13FEB1981 E00366 PILOT1 $62,000
23FEB1981 E00042 BAGCLK $32,000
23FEB1981 E00364 FLTAT3 $41,000
14MAR1981 E00479 RESCLK $16,000
20MAR1981 E00141 GRCREW $37,000
29MAR1981 E00049 FLTAT1 $29,000
02APR1981 E00316 PILOT3 $45,000
15APR1981 E00099 FLTAT3 $37,000
30APR1981 E00164 GRCREW $36,000
04MAY1981 E00279 SALCLK $22,000
22MAY1981 E00360 FINCLK $23,000
01JUN1981 E00384 PILOT2 $41,000
05JUN1981 E00038 FACCLK $20,000
12JUN1981 E00137 FLTAT2 $16,000
16JUN1981 E00319 BAGCLK $40,000
17JUN1981 E00113 SALCLK $38,000
17JUN1981 E00324 FLTAT1 $23,000
21JUN1981 E00469 GRCREW $40,000
30JUL1981 E00167 GRCREW $28,000
03AUG1981 E00022 FACCLK $27,000
05AUG1981 E00143 RESCLK $45,000
07AUG1981 E00395 CHKCLK $37,000
07AUG1981 E00413 FACCLK $36,000
12AUG1981 E00161 FACMNT $23,000
22AUG1981 E00179 FINACT $17,000
02SEP1981 E00380 ITPROG $24,000
12SEP1981 E00159 CHKCLK $38,000
21SEP1981 E00434 PILOT2 $45,000
26SEP1981 E00407 PILOT1 $61,000
21OCT1981 E00482 RESCLK $16,000
02NOV1981 E00064 CHKCLK $25,000
07DEC1981 E00023 FLTAT2 $31,000
13DEC1981 E00123 GRCREW $20,000
19DEC1981 E00005 GRCREW $19,000
30DEC1981 E00144 PILOT3 $44,000
01JAN1982 E00476 FSVCLK $35,000
02JAN1982 E00218 MECH03 $19,000
26JAN1982 E00442 ITPROG $25,000
30JAN1982 E00374 MKTCLK $21,000
22FEB1982 E00487 GRCREW $33,000
12MAR1982 E00172 FINCLK $39,000
13MAR1982 E00019 SALCLK $29,000
22MAR1982 E00304 ITPROG $42,000
01APR1982 E00116 FLTAT2 $16,000
01APR1982 E00226 FSVCLK $21,000
06APR1982 E00094 HRCLK $23,000
13APR1982 E00043 PILOT3 $17,000
22APR1982 E00221 PILOT2 $42,000
28APR1982 E00322 ITPROG $19,000
06MAY1982 E00284 GRCSUP $30,000
07MAY1982 E00379 FLSCHD $25,000
05JUN1982 E00777 SALCLK $32,000
18JUN1982 E00437 FLTAT1 $25,000
24JUN1982 E00073 FINCLK $24,000
15JUL1982 E00352 RESCLK $24,000
18JUL1982 E00484 FLTAT2 $45,000
28JUL1982 E00039 FACCLK $38,000
05AUG1982 E00400 FINCLK $18,000
15AUG1982 E00455 FLSCHD $39,000
20AUG1982 E00378 MKTCLK $29,000
21AUG1982 E00236 GRCREW $41,000
12SEP1982 E00093 SALCLK $27,000
